Device: cuda
Train rootovi: sub10k_open_images_v7, sub10k_open_images_v7_part2
Val root:      sub10k_open_images_v7  (nepromijenjen -> mAP usporediv s KD_featlogit)
Train: 14485    Val: 837
Model parameters: 473,358
Topli start iz: /home/tomi/code/dipl/custom_models/student_0_5_m/KD_featlogit/checkpoints/best.pt
  prethodna epoha=25  val_mAP=0.0629
  optimizer/scheduler NE nastavljaju se; LR krece od 5.00e-04
Iteracija/epoha: 905  (part1-only run je imao ~366)
  iter     50 | epoch   1/100 | loss 0.9108 | feat 0.1781 | cls 0.3139 | box 0.4189 | lr 1.41e-05
  iter    100 | epoch   1/100 | loss 0.9020 | feat 0.1784 | cls 0.3090 | box 0.4145 | lr 2.79e-05
  iter    150 | epoch   1/100 | loss 0.8993 | feat 0.1782 | cls 0.3077 | box 0.4134 | lr 4.17e-05
  iter    200 | epoch   1/100 | loss 0.8953 | feat 0.1778 | cls 0.3060 | box 0.4115 | lr 5.55e-05
  iter    250 | epoch   1/100 | loss 0.8931 | feat 0.1777 | cls 0.3048 | box 0.4106 | lr 6.93e-05
  iter    300 | epoch   1/100 | loss 0.8921 | feat 0.1774 | cls 0.3046 | box 0.4102 | lr 8.31e-05
  iter    350 | epoch   1/100 | loss 0.8919 | feat 0.1773 | cls 0.3046 | box 0.4101 | lr 9.70e-05
  iter    400 | epoch   1/100 | loss 0.8930 | feat 0.1772 | cls 0.3054 | box 0.4104 | lr 1.11e-04
  iter    450 | epoch   1/100 | loss 0.8928 | feat 0.1771 | cls 0.3056 | box 0.4100 | lr 1.25e-04
  iter    500 | epoch   1/100 | loss 0.8920 | feat 0.1771 | cls 0.3051 | box 0.4099 | lr 1.38e-04
  iter    550 | epoch   1/100 | loss 0.8918 | feat 0.1770 | cls 0.3049 | box 0.4099 | lr 1.52e-04
  iter    600 | epoch   1/100 | loss 0.8910 | feat 0.1769 | cls 0.3047 | box 0.4094 | lr 1.66e-04
  iter    650 | epoch   1/100 | loss 0.8908 | feat 0.1769 | cls 0.3048 | box 0.4091 | lr 1.80e-04
  iter    700 | epoch   1/100 | loss 0.8899 | feat 0.1768 | cls 0.3045 | box 0.4086 | lr 1.94e-04
  iter    750 | epoch   1/100 | loss 0.8891 | feat 0.1767 | cls 0.3042 | box 0.4082 | lr 2.07e-04
  iter    800 | epoch   1/100 | loss 0.8887 | feat 0.1766 | cls 0.3041 | box 0.4079 | lr 2.21e-04
  iter    850 | epoch   1/100 | loss 0.8882 | feat 0.1766 | cls 0.3038 | box 0.4077 | lr 2.35e-04
  iter    900 | epoch   1/100 | loss 0.8877 | feat 0.1766 | cls 0.3037 | box 0.4075 | lr 2.49e-04
[epoch   1] train_loss=0.8875 feat=0.1765 cls=0.3035 box=0.4075 (174.2s)
[epoch   1] validating...
[epoch   1] val_resp=0.7437 (cls=0.3183 box=0.4254) | val_mAP@50:95=0.0761 mAP@50=0.2230 (52.3s)
[epoch   1] new best (val_mAP@50:95 = 0.0761)
  iter    950 | epoch   2/100 | loss 0.8880 | feat 0.1770 | cls 0.3055 | box 0.4055 | lr 2.63e-04
  iter   1000 | epoch   2/100 | loss 0.8877 | feat 0.1765 | cls 0.3055 | box 0.4057 | lr 2.77e-04
  iter   1050 | epoch   2/100 | loss 0.8874 | feat 0.1761 | cls 0.3044 | box 0.4069 | lr 2.90e-04
  iter   1100 | epoch   2/100 | loss 0.8867 | feat 0.1761 | cls 0.3044 | box 0.4062 | lr 3.04e-04
  iter   1150 | epoch   2/100 | loss 0.8860 | feat 0.1761 | cls 0.3042 | box 0.4056 | lr 3.18e-04
  iter   1200 | epoch   2/100 | loss 0.8845 | feat 0.1759 | cls 0.3038 | box 0.4049 | lr 3.32e-04
  iter   1250 | epoch   2/100 | loss 0.8847 | feat 0.1758 | cls 0.3040 | box 0.4049 | lr 3.46e-04
  iter   1300 | epoch   2/100 | loss 0.8852 | feat 0.1757 | cls 0.3040 | box 0.4055 | lr 3.59e-04
  iter   1350 | epoch   2/100 | loss 0.8844 | feat 0.1757 | cls 0.3030 | box 0.4056 | lr 3.73e-04
  iter   1400 | epoch   2/100 | loss 0.8837 | feat 0.1757 | cls 0.3026 | box 0.4054 | lr 3.87e-04
  iter   1450 | epoch   2/100 | loss 0.8832 | feat 0.1756 | cls 0.3023 | box 0.4053 | lr 4.01e-04
  iter   1500 | epoch   2/100 | loss 0.8841 | feat 0.1757 | cls 0.3026 | box 0.4059 | lr 4.15e-04
  iter   1550 | epoch   2/100 | loss 0.8847 | feat 0.1756 | cls 0.3029 | box 0.4063 | lr 4.28e-04
  iter   1600 | epoch   2/100 | loss 0.8852 | feat 0.1755 | cls 0.3032 | box 0.4065 | lr 4.42e-04
  iter   1650 | epoch   2/100 | loss 0.8854 | feat 0.1755 | cls 0.3033 | box 0.4066 | lr 4.56e-04
  iter   1700 | epoch   2/100 | loss 0.8857 | feat 0.1754 | cls 0.3034 | box 0.4068 | lr 4.70e-04
  iter   1750 | epoch   2/100 | loss 0.8855 | feat 0.1754 | cls 0.3033 | box 0.4068 | lr 4.84e-04
  iter   1800 | epoch   2/100 | loss 0.8855 | feat 0.1755 | cls 0.3033 | box 0.4068 | lr 4.98e-04
[epoch   2] train_loss=0.8854 feat=0.1754 cls=0.3032 box=0.4068 (169.6s)
