Device: cuda
Train rootovi: sub10k_open_images_v7, sub10k_open_images_v7_part2
Val root:      sub10k_open_images_v7  (nepromijenjen -> mAP usporediv s KD_featlogit)
Train: 14485    Val: 837
Model parameters: 1,060,310
Topli start iz: /home/tomi/code/dipl/custom_models/student_1_m/KD_featlogit/checkpoints/best.pt
  prethodna epoha=22  val_mAP=0.1191
  optimizer/scheduler NE nastavljaju se; LR krece od 5.00e-04
Iteracija/epoha: 905  (part1-only run je imao ~366)
  iter     50 | epoch   1/100 | loss 0.8260 | feat 0.1700 | cls 0.2811 | box 0.3749 | lr 1.41e-05
  iter    100 | epoch   1/100 | loss 0.8106 | feat 0.1694 | cls 0.2741 | box 0.3671 | lr 2.79e-05
  iter    150 | epoch   1/100 | loss 0.8078 | feat 0.1689 | cls 0.2735 | box 0.3653 | lr 4.17e-05
  iter    200 | epoch   1/100 | loss 0.8004 | feat 0.1688 | cls 0.2696 | box 0.3620 | lr 5.55e-05
  iter    250 | epoch   1/100 | loss 0.7984 | feat 0.1686 | cls 0.2684 | box 0.3614 | lr 6.93e-05
  iter    300 | epoch   1/100 | loss 0.7954 | feat 0.1686 | cls 0.2665 | box 0.3603 | lr 8.31e-05
  iter    350 | epoch   1/100 | loss 0.7930 | feat 0.1684 | cls 0.2652 | box 0.3594 | lr 9.70e-05
  iter    400 | epoch   1/100 | loss 0.7919 | feat 0.1683 | cls 0.2649 | box 0.3587 | lr 1.11e-04
  iter    450 | epoch   1/100 | loss 0.7913 | feat 0.1682 | cls 0.2644 | box 0.3587 | lr 1.25e-04
  iter    500 | epoch   1/100 | loss 0.7909 | feat 0.1681 | cls 0.2643 | box 0.3584 | lr 1.38e-04
  iter    550 | epoch   1/100 | loss 0.7892 | feat 0.1679 | cls 0.2634 | box 0.3579 | lr 1.52e-04
  iter    600 | epoch   1/100 | loss 0.7882 | feat 0.1678 | cls 0.2627 | box 0.3577 | lr 1.66e-04
  iter    650 | epoch   1/100 | loss 0.7868 | feat 0.1677 | cls 0.2620 | box 0.3571 | lr 1.80e-04
  iter    700 | epoch   1/100 | loss 0.7859 | feat 0.1676 | cls 0.2616 | box 0.3567 | lr 1.94e-04
  iter    750 | epoch   1/100 | loss 0.7851 | feat 0.1675 | cls 0.2612 | box 0.3564 | lr 2.07e-04
  iter    800 | epoch   1/100 | loss 0.7849 | feat 0.1675 | cls 0.2610 | box 0.3564 | lr 2.21e-04
  iter    850 | epoch   1/100 | loss 0.7840 | feat 0.1674 | cls 0.2605 | box 0.3560 | lr 2.35e-04
  iter    900 | epoch   1/100 | loss 0.7839 | feat 0.1674 | cls 0.2605 | box 0.3559 | lr 2.49e-04
[epoch   1] train_loss=0.7839 feat=0.1674 cls=0.2605 box=0.3560 (165.1s)
[epoch   1] validating...
[epoch   1] val_resp=0.6785 (cls=0.2918 box=0.3868) | val_mAP@50:95=0.1410 mAP@50=0.3368 (47.9s)
[epoch   1] new best (val_mAP@50:95 = 0.1410)
  iter    950 | epoch   2/100 | loss 0.7735 | feat 0.1651 | cls 0.2561 | box 0.3523 | lr 2.63e-04
  iter   1000 | epoch   2/100 | loss 0.7716 | feat 0.1655 | cls 0.2546 | box 0.3515 | lr 2.77e-04
  iter   1050 | epoch   2/100 | loss 0.7691 | feat 0.1660 | cls 0.2531 | box 0.3500 | lr 2.90e-04
  iter   1100 | epoch   2/100 | loss 0.7697 | feat 0.1663 | cls 0.2530 | box 0.3504 | lr 3.04e-04
  iter   1150 | epoch   2/100 | loss 0.7705 | feat 0.1664 | cls 0.2534 | box 0.3507 | lr 3.18e-04
  iter   1200 | epoch   2/100 | loss 0.7718 | feat 0.1665 | cls 0.2539 | box 0.3513 | lr 3.32e-04
  iter   1250 | epoch   2/100 | loss 0.7725 | feat 0.1663 | cls 0.2545 | box 0.3517 | lr 3.46e-04
  iter   1300 | epoch   2/100 | loss 0.7716 | feat 0.1662 | cls 0.2540 | box 0.3514 | lr 3.59e-04
  iter   1350 | epoch   2/100 | loss 0.7717 | feat 0.1661 | cls 0.2543 | box 0.3513 | lr 3.73e-04
  iter   1400 | epoch   2/100 | loss 0.7721 | feat 0.1661 | cls 0.2546 | box 0.3513 | lr 3.87e-04
  iter   1450 | epoch   2/100 | loss 0.7726 | feat 0.1661 | cls 0.2548 | box 0.3517 | lr 4.01e-04
  iter   1500 | epoch   2/100 | loss 0.7737 | feat 0.1662 | cls 0.2554 | box 0.3522 | lr 4.15e-04
  iter   1550 | epoch   2/100 | loss 0.7742 | feat 0.1663 | cls 0.2557 | box 0.3523 | lr 4.28e-04
  iter   1600 | epoch   2/100 | loss 0.7739 | feat 0.1663 | cls 0.2555 | box 0.3521 | lr 4.42e-04
  iter   1650 | epoch   2/100 | loss 0.7751 | feat 0.1663 | cls 0.2562 | box 0.3527 | lr 4.56e-04
  iter   1700 | epoch   2/100 | loss 0.7757 | feat 0.1662 | cls 0.2565 | box 0.3530 | lr 4.70e-04
  iter   1750 | epoch   2/100 | loss 0.7762 | feat 0.1662 | cls 0.2568 | box 0.3532 | lr 4.84e-04
  iter   1800 | epoch   2/100 | loss 0.7763 | feat 0.1662 | cls 0.2568 | box 0.3533 | lr 4.98e-04
[epoch   2] train_loss=0.7761 feat=0.1662 cls=0.2567 box=0.3532 (163.2s)
  iter   1850 | epoch   3/100 | loss 0.7635 | feat 0.1654 | cls 0.2523 | box 0.3458 | lr 5.00e-04
  iter   1900 | epoch   3/100 | loss 0.7660 | feat 0.1659 | cls 0.2512 | box 0.3489 | lr 5.00e-04
  iter   1950 | epoch   3/100 | loss 0.7718 | feat 0.1662 | cls 0.2544 | box 0.3513 | lr 5.00e-04
  iter   2000 | epoch   3/100 | loss 0.7703 | feat 0.1660 | cls 0.2534 | box 0.3509 | lr 5.00e-04
  iter   2050 | epoch   3/100 | loss 0.7710 | feat 0.1662 | cls 0.2533 | box 0.3515 | lr 5.00e-04
  iter   2100 | epoch   3/100 | loss 0.7711 | feat 0.1663 | cls 0.2534 | box 0.3514 | lr 5.00e-04
  iter   2150 | epoch   3/100 | loss 0.7708 | feat 0.1664 | cls 0.2530 | box 0.3514 | lr 5.00e-04
  iter   2200 | epoch   3/100 | loss 0.7704 | feat 0.1663 | cls 0.2531 | box 0.3511 | lr 5.00e-04
  iter   2250 | epoch   3/100 | loss 0.7709 | feat 0.1665 | cls 0.2529 | box 0.3515 | lr 5.00e-04
  iter   2300 | epoch   3/100 | loss 0.7714 | feat 0.1664 | cls 0.2537 | box 0.3514 | lr 5.00e-04
  iter   2350 | epoch   3/100 | loss 0.7717 | feat 0.1663 | cls 0.2539 | box 0.3515 | lr 5.00e-04
  iter   2400 | epoch   3/100 | loss 0.7709 | feat 0.1663 | cls 0.2535 | box 0.3512 | lr 5.00e-04
  iter   2450 | epoch   3/100 | loss 0.7709 | feat 0.1661 | cls 0.2538 | box 0.3510 | lr 5.00e-04
  iter   2500 | epoch   3/100 | loss 0.7709 | feat 0.1660 | cls 0.2539 | box 0.3509 | lr 5.00e-04
  iter   2550 | epoch   3/100 | loss 0.7708 | feat 0.1660 | cls 0.2540 | box 0.3509 | lr 5.00e-04
  iter   2600 | epoch   3/100 | loss 0.7710 | feat 0.1659 | cls 0.2540 | box 0.3510 | lr 5.00e-04
  iter   2650 | epoch   3/100 | loss 0.7717 | feat 0.1658 | cls 0.2544 | box 0.3514 | lr 5.00e-04
  iter   2700 | epoch   3/100 | loss 0.7715 | feat 0.1658 | cls 0.2543 | box 0.3514 | lr 5.00e-04
[epoch   3] train_loss=0.7714 feat=0.1657 cls=0.2543 box=0.3513 (169.7s)
  iter   2750 | epoch   4/100 | loss 0.7597 | feat 0.1648 | cls 0.2502 | box 0.3446 | lr 5.00e-04
  iter   2800 | epoch   4/100 | loss 0.7568 | feat 0.1659 | cls 0.2470 | box 0.3439 | lr 5.00e-04
  iter   2850 | epoch   4/100 | loss 0.7520 | feat 0.1657 | cls 0.2443 | box 0.3420 | lr 5.00e-04
  iter   2900 | epoch   4/100 | loss 0.7525 | feat 0.1656 | cls 0.2445 | box 0.3424 | lr 5.00e-04
  iter   2950 | epoch   4/100 | loss 0.7522 | feat 0.1654 | cls 0.2445 | box 0.3422 | lr 5.00e-04
  iter   3000 | epoch   4/100 | loss 0.7517 | feat 0.1654 | cls 0.2440 | box 0.3422 | lr 5.00e-04
  iter   3050 | epoch   4/100 | loss 0.7527 | feat 0.1655 | cls 0.2445 | box 0.3427 | lr 5.00e-04
  iter   3100 | epoch   4/100 | loss 0.7520 | feat 0.1654 | cls 0.2443 | box 0.3423 | lr 5.00e-04
  iter   3150 | epoch   4/100 | loss 0.7525 | feat 0.1653 | cls 0.2448 | box 0.3424 | lr 5.00e-04
  iter   3200 | epoch   4/100 | loss 0.7519 | feat 0.1652 | cls 0.2447 | box 0.3419 | lr 5.00e-04
