Device: cuda
Train rootovi: sub10k_open_images_v7, sub10k_open_images_v7_part2
Val root:      sub10k_open_images_v7  (nepromijenjen -> mAP usporediv s KD_featlogit)
Train: 14485    Val: 837
Model parameters: 2,719,132
Topli start iz: /home/tomi/code/dipl/custom_models/student_yolo26n/KD_featlogit/checkpoints/best.pt
  prethodna epoha=25  val_mAP=0.2319
  optimizer/scheduler NE nastavljaju se; LR krece od 5.00e-04
Iteracija/epoha: 905  (part1-only run je imao ~366)
  iter     50 | epoch   1/100 | loss 0.6992 | feat 0.1291 | cls 0.2560 | box 0.3141 | lr 1.41e-05
  iter    100 | epoch   1/100 | loss 0.6929 | feat 0.1288 | cls 0.2514 | box 0.3127 | lr 2.79e-05
  iter    150 | epoch   1/100 | loss 0.6844 | feat 0.1285 | cls 0.2470 | box 0.3089 | lr 4.17e-05
  iter    200 | epoch   1/100 | loss 0.6796 | feat 0.1281 | cls 0.2448 | box 0.3067 | lr 5.55e-05
  iter    250 | epoch   1/100 | loss 0.6743 | feat 0.1280 | cls 0.2414 | box 0.3049 | lr 6.93e-05
  iter    300 | epoch   1/100 | loss 0.6724 | feat 0.1281 | cls 0.2397 | box 0.3046 | lr 8.31e-05
  iter    350 | epoch   1/100 | loss 0.6691 | feat 0.1278 | cls 0.2378 | box 0.3035 | lr 9.70e-05
  iter    400 | epoch   1/100 | loss 0.6688 | feat 0.1277 | cls 0.2377 | box 0.3034 | lr 1.11e-04
  iter    450 | epoch   1/100 | loss 0.6667 | feat 0.1277 | cls 0.2363 | box 0.3028 | lr 1.25e-04
  iter    500 | epoch   1/100 | loss 0.6630 | feat 0.1275 | cls 0.2346 | box 0.3009 | lr 1.38e-04
  iter    550 | epoch   1/100 | loss 0.6614 | feat 0.1275 | cls 0.2333 | box 0.3006 | lr 1.52e-04
  iter    600 | epoch   1/100 | loss 0.6602 | feat 0.1275 | cls 0.2327 | box 0.3001 | lr 1.66e-04
  iter    650 | epoch   1/100 | loss 0.6599 | feat 0.1275 | cls 0.2324 | box 0.3000 | lr 1.80e-04
  iter    700 | epoch   1/100 | loss 0.6590 | feat 0.1274 | cls 0.2318 | box 0.2997 | lr 1.94e-04
  iter    750 | epoch   1/100 | loss 0.6578 | feat 0.1274 | cls 0.2309 | box 0.2995 | lr 2.07e-04
  iter    800 | epoch   1/100 | loss 0.6578 | feat 0.1274 | cls 0.2307 | box 0.2997 | lr 2.21e-04
  iter    850 | epoch   1/100 | loss 0.6577 | feat 0.1273 | cls 0.2305 | box 0.2998 | lr 2.35e-04
  iter    900 | epoch   1/100 | loss 0.6575 | feat 0.1273 | cls 0.2302 | box 0.2999 | lr 2.49e-04
[epoch   1] train_loss=0.6573 feat=0.1273 cls=0.2301 box=0.2999 (166.8s)
[epoch   1] validating...
[epoch   1] val_resp=0.5944 (cls=0.2604 box=0.3340) | val_mAP@50:95=0.2592 mAP@50=0.4506 (24.8s)
[epoch   1] new best (val_mAP@50:95 = 0.2592)
  iter    950 | epoch   2/100 | loss 0.6388 | feat 0.1274 | cls 0.2158 | box 0.2956 | lr 2.63e-04
  iter   1000 | epoch   2/100 | loss 0.6440 | feat 0.1268 | cls 0.2207 | box 0.2966 | lr 2.77e-04
  iter   1050 | epoch   2/100 | loss 0.6392 | feat 0.1267 | cls 0.2186 | box 0.2939 | lr 2.90e-04
  iter   1100 | epoch   2/100 | loss 0.6391 | feat 0.1267 | cls 0.2187 | box 0.2938 | lr 3.04e-04
  iter   1150 | epoch   2/100 | loss 0.6383 | feat 0.1264 | cls 0.2188 | box 0.2931 | lr 3.18e-04
  iter   1200 | epoch   2/100 | loss 0.6382 | feat 0.1263 | cls 0.2187 | box 0.2932 | lr 3.32e-04
  iter   1250 | epoch   2/100 | loss 0.6392 | feat 0.1264 | cls 0.2192 | box 0.2936 | lr 3.46e-04
  iter   1300 | epoch   2/100 | loss 0.6411 | feat 0.1265 | cls 0.2201 | box 0.2945 | lr 3.59e-04
  iter   1350 | epoch   2/100 | loss 0.6410 | feat 0.1264 | cls 0.2205 | box 0.2941 | lr 3.73e-04
  iter   1400 | epoch   2/100 | loss 0.6423 | feat 0.1265 | cls 0.2211 | box 0.2948 | lr 3.87e-04
  iter   1450 | epoch   2/100 | loss 0.6431 | feat 0.1265 | cls 0.2213 | box 0.2953 | lr 4.01e-04
  iter   1500 | epoch   2/100 | loss 0.6437 | feat 0.1266 | cls 0.2214 | box 0.2957 | lr 4.15e-04
  iter   1550 | epoch   2/100 | loss 0.6442 | feat 0.1266 | cls 0.2217 | box 0.2958 | lr 4.28e-04
  iter   1600 | epoch   2/100 | loss 0.6451 | feat 0.1267 | cls 0.2221 | box 0.2963 | lr 4.42e-04
  iter   1650 | epoch   2/100 | loss 0.6459 | feat 0.1267 | cls 0.2225 | box 0.2967 | lr 4.56e-04
  iter   1700 | epoch   2/100 | loss 0.6463 | feat 0.1268 | cls 0.2224 | box 0.2971 | lr 4.70e-04
  iter   1750 | epoch   2/100 | loss 0.6465 | feat 0.1268 | cls 0.2225 | box 0.2972 | lr 4.84e-04
  iter   1800 | epoch   2/100 | loss 0.6479 | feat 0.1268 | cls 0.2232 | box 0.2979 | lr 4.98e-04
[epoch   2] train_loss=0.6484 feat=0.1269 cls=0.2234 box=0.2981 (165.7s)
  iter   1850 | epoch   3/100 | loss 0.6274 | feat 0.1263 | cls 0.2098 | box 0.2914 | lr 5.00e-04
  iter   1900 | epoch   3/100 | loss 0.6293 | feat 0.1264 | cls 0.2113 | box 0.2917 | lr 5.00e-04
  iter   1950 | epoch   3/100 | loss 0.6292 | feat 0.1265 | cls 0.2115 | box 0.2912 | lr 5.00e-04
  iter   2000 | epoch   3/100 | loss 0.6315 | feat 0.1264 | cls 0.2133 | box 0.2919 | lr 5.00e-04
  iter   2050 | epoch   3/100 | loss 0.6315 | feat 0.1266 | cls 0.2132 | box 0.2917 | lr 5.00e-04
  iter   2100 | epoch   3/100 | loss 0.6337 | feat 0.1267 | cls 0.2144 | box 0.2926 | lr 5.00e-04
  iter   2150 | epoch   3/100 | loss 0.6321 | feat 0.1267 | cls 0.2137 | box 0.2917 | lr 5.00e-04
  iter   2200 | epoch   3/100 | loss 0.6344 | feat 0.1267 | cls 0.2151 | box 0.2926 | lr 5.00e-04
  iter   2250 | epoch   3/100 | loss 0.6349 | feat 0.1267 | cls 0.2153 | box 0.2929 | lr 5.00e-04
  iter   2300 | epoch   3/100 | loss 0.6355 | feat 0.1268 | cls 0.2156 | box 0.2932 | lr 5.00e-04
  iter   2350 | epoch   3/100 | loss 0.6368 | feat 0.1268 | cls 0.2165 | box 0.2935 | lr 5.00e-04
  iter   2400 | epoch   3/100 | loss 0.6376 | feat 0.1268 | cls 0.2171 | box 0.2938 | lr 5.00e-04
  iter   2450 | epoch   3/100 | loss 0.6385 | feat 0.1268 | cls 0.2176 | box 0.2941 | lr 5.00e-04
  iter   2500 | epoch   3/100 | loss 0.6393 | feat 0.1267 | cls 0.2182 | box 0.2944 | lr 5.00e-04
  iter   2550 | epoch   3/100 | loss 0.6403 | feat 0.1267 | cls 0.2185 | box 0.2950 | lr 5.00e-04
  iter   2600 | epoch   3/100 | loss 0.6406 | feat 0.1267 | cls 0.2189 | box 0.2950 | lr 5.00e-04
  iter   2650 | epoch   3/100 | loss 0.6416 | feat 0.1267 | cls 0.2194 | box 0.2954 | lr 5.00e-04
  iter   2700 | epoch   3/100 | loss 0.6426 | feat 0.1267 | cls 0.2199 | box 0.2960 | lr 5.00e-04
[epoch   3] train_loss=0.6426 feat=0.1267 cls=0.2199 box=0.2960 (172.6s)
  iter   2750 | epoch   4/100 | loss 0.6239 | feat 0.1264 | cls 0.2094 | box 0.2881 | lr 5.00e-04
  iter   2800 | epoch   4/100 | loss 0.6186 | feat 0.1259 | cls 0.2067 | box 0.2860 | lr 5.00e-04
  iter   2850 | epoch   4/100 | loss 0.6163 | feat 0.1262 | cls 0.2050 | box 0.2851 | lr 5.00e-04
  iter   2900 | epoch   4/100 | loss 0.6166 | feat 0.1258 | cls 0.2058 | box 0.2850 | lr 5.00e-04
  iter   2950 | epoch   4/100 | loss 0.6162 | feat 0.1258 | cls 0.2058 | box 0.2845 | lr 5.00e-04
  iter   3000 | epoch   4/100 | loss 0.6174 | feat 0.1258 | cls 0.2067 | box 0.2849 | lr 5.00e-04
  iter   3050 | epoch   4/100 | loss 0.6198 | feat 0.1259 | cls 0.2081 | box 0.2858 | lr 5.00e-04
  iter   3100 | epoch   4/100 | loss 0.6200 | feat 0.1260 | cls 0.2085 | box 0.2855 | lr 5.00e-04
  iter   3150 | epoch   4/100 | loss 0.6214 | feat 0.1261 | cls 0.2088 | box 0.2865 | lr 5.00e-04
  iter   3200 | epoch   4/100 | loss 0.6215 | feat 0.1261 | cls 0.2088 | box 0.2866 | lr 5.00e-04
  iter   3250 | epoch   4/100 | loss 0.6215 | feat 0.1260 | cls 0.2088 | box 0.2867 | lr 5.00e-04
  iter   3300 | epoch   4/100 | loss 0.6216 | feat 0.1261 | cls 0.2088 | box 0.2868 | lr 5.00e-04
  iter   3350 | epoch   4/100 | loss 0.6218 | feat 0.1260 | cls 0.2090 | box 0.2869 | lr 5.00e-04
  iter   3400 | epoch   4/100 | loss 0.6222 | feat 0.1260 | cls 0.2091 | box 0.2870 | lr 5.00e-04
  iter   3450 | epoch   4/100 | loss 0.6230 | feat 0.1260 | cls 0.2096 | box 0.2874 | lr 5.00e-04
  iter   3500 | epoch   4/100 | loss 0.6238 | feat 0.1259 | cls 0.2102 | box 0.2877 | lr 5.00e-04
  iter   3550 | epoch   4/100 | loss 0.6241 | feat 0.1259 | cls 0.2103 | box 0.2878 | lr 5.00e-04
  iter   3600 | epoch   4/100 | loss 0.6246 | feat 0.1260 | cls 0.2107 | box 0.2880 | lr 4.99e-04
[epoch   4] train_loss=0.6250 feat=0.1260 cls=0.2108 box=0.2881 (171.6s)
[epoch   4] validating...
[epoch   4] val_resp=0.5921 (cls=0.2617 box=0.3303) | val_mAP@50:95=0.2597 mAP@50=0.4450 (24.5s)
[epoch   4] new best (val_mAP@50:95 = 0.2597)
  iter   3650 | epoch   5/100 | loss 0.5965 | feat 0.1256 | cls 0.1954 | box 0.2755 | lr 4.99e-04
  iter   3700 | epoch   5/100 | loss 0.6021 | feat 0.1250 | cls 0.1979 | box 0.2793 | lr 4.99e-04
  iter   3750 | epoch   5/100 | loss 0.5989 | feat 0.1250 | cls 0.1954 | box 0.2785 | lr 4.99e-04
  iter   3800 | epoch   5/100 | loss 0.5974 | feat 0.1251 | cls 0.1949 | box 0.2774 | lr 4.99e-04
  iter   3850 | epoch   5/100 | loss 0.6007 | feat 0.1255 | cls 0.1970 | box 0.2783 | lr 4.99e-04
  iter   3900 | epoch   5/100 | loss 0.6001 | feat 0.1254 | cls 0.1971 | box 0.2776 | lr 4.99e-04
  iter   3950 | epoch   5/100 | loss 0.6028 | feat 0.1254 | cls 0.1983 | box 0.2791 | lr 4.99e-04
  iter   4000 | epoch   5/100 | loss 0.6033 | feat 0.1254 | cls 0.1984 | box 0.2795 | lr 4.99e-04
  iter   4050 | epoch   5/100 | loss 0.6042 | feat 0.1255 | cls 0.1988 | box 0.2799 | lr 4.99e-04
  iter   4100 | epoch   5/100 | loss 0.6057 | feat 0.1255 | cls 0.1997 | box 0.2806 | lr 4.99e-04
  iter   4150 | epoch   5/100 | loss 0.6071 | feat 0.1255 | cls 0.2006 | box 0.2810 | lr 4.99e-04
  iter   4200 | epoch   5/100 | loss 0.6080 | feat 0.1255 | cls 0.2012 | box 0.2813 | lr 4.99e-04
  iter   4250 | epoch   5/100 | loss 0.6079 | feat 0.1255 | cls 0.2013 | box 0.2811 | lr 4.99e-04
  iter   4300 | epoch   5/100 | loss 0.6086 | feat 0.1255 | cls 0.2017 | box 0.2814 | lr 4.99e-04
