datum,uredjaj,mjerenje,runtime,model,dataset,split,n_uzoraka,metrika,vrijednost,latencija_ms,dev,torch
2026-09-06T00:14:19,Jetson,BASELINE_RAW,eager,housing_mlp,california_housing,val,3096,R2,0.756544,1.6293,cuda,2.8.0
2026-09-06T00:14:19,Jetson,BASELINE_RAW,eager,housing_mlp,california_housing,val,3096,RMSE,0.563176,1.6293,cuda,2.8.0
2026-09-06T00:14:19,Jetson,BASELINE_RAW,eager,housing_mlp,california_housing,val,3096,MAE,0.379832,1.6293,cuda,2.8.0
2026-09-06T00:14:19,Jetson,BASELINE_RAW,eager,housing_mlp,california_housing,val,3096,MedAE,0.254511,1.6293,cuda,2.8.0
2026-09-06T00:14:19,Jetson,BASELINE_RAW,eager,housing_mlp,california_housing,val,3096,P90,0.845398,1.6293,cuda,2.8.0
2026-09-06T00:14:19,Jetson,BASELINE_RAW,eager,housing_mlp,california_housing,val,3096,lin_R2,0.584826,1.6293,cuda,2.8.0
2026-09-06T00:14:19,Jetson,BASELINE_RAW,eager,housing_mlp,california_housing,test,3096,R2,0.789701,1.6104,cuda,2.8.0
2026-09-06T00:14:19,Jetson,BASELINE_RAW,eager,housing_mlp,california_housing,test,3096,RMSE,0.527334,1.6104,cuda,2.8.0
2026-09-06T00:14:19,Jetson,BASELINE_RAW,eager,housing_mlp,california_housing,test,3096,MAE,0.363489,1.6104,cuda,2.8.0
2026-09-06T00:14:19,Jetson,BASELINE_RAW,eager,housing_mlp,california_housing,test,3096,MedAE,0.243687,1.6104,cuda,2.8.0
2026-09-06T00:14:19,Jetson,BASELINE_RAW,eager,housing_mlp,california_housing,test,3096,P90,0.813771,1.6104,cuda,2.8.0
2026-09-06T00:14:19,Jetson,BASELINE_RAW,eager,housing_mlp,california_housing,test,3096,lin_R2,0.606552,1.6104,cuda,2.8.0
2026-09-06T00:14:37,Jetson,BASELINE_RAW,eager,speechcommands_m5,speech_commands_v0.02,val,4443,accuracy,0.870808,2.0525,cuda,2.8.0
2026-09-06T00:14:37,Jetson,BASELINE_RAW,eager,speechcommands_m5,speech_commands_v0.02,val,4443,f1_macro,0.870325,2.0525,cuda,2.8.0
2026-09-06T00:14:50,Jetson,BASELINE_RAW,eager,speechcommands_m5,speech_commands_v0.02,test,4888,accuracy,0.864975,2.0498,cuda,2.8.0
2026-09-06T00:14:50,Jetson,BASELINE_RAW,eager,speechcommands_m5,speech_commands_v0.02,test,4888,f1_macro,0.865469,2.0498,cuda,2.8.0
2026-09-06T00:15:18,Jetson,BASELINE_RAW,eager,midas_depth,NYU_Depth_V2,val,254,AbsRel,0.218712,29.0079,cuda,2.8.0
2026-09-06T00:15:18,Jetson,BASELINE_RAW,eager,midas_depth,NYU_Depth_V2,val,254,RMSE_m,0.7896,29.0079,cuda,2.8.0
2026-09-06T00:15:18,Jetson,BASELINE_RAW,eager,midas_depth,NYU_Depth_V2,val,254,delta1,0.599963,29.0079,cuda,2.8.0
2026-09-06T00:16:07,Jetson,BASELINE_RAW,eager,sst2_distilbert,SST-2_GLUE,validation,872,accuracy,0.91055,9.3785,cuda,2.8.0
2026-09-06T00:16:07,Jetson,BASELINE_RAW,eager,sst2_distilbert,SST-2_GLUE,validation,872,f1_macro,0.91043,9.3785,cuda,2.8.0
2026-09-06T00:17:30,Jetson,BASELINE_RAW,eager,yolo26n,sub10k_open_images_v7,val,837,map,0.412317,38.2264,cuda,2.8.0
2026-09-06T00:17:30,Jetson,BASELINE_RAW,eager,yolo26n,sub10k_open_images_v7,val,837,map_50,0.620748,38.2264,cuda,2.8.0
2026-09-06T00:17:30,Jetson,BASELINE_RAW,eager,yolo26n,sub10k_open_images_v7,val,837,map_75,0.44039,38.2264,cuda,2.8.0
2026-09-06T00:17:30,Jetson,BASELINE_RAW,eager,yolo26n,sub10k_open_images_v7,val,837,mar_100,0.615546,38.2264,cuda,2.8.0
2026-09-06T00:19:42,Jetson,BASELINE_RAW,eager,yolo26n,sub10k_open_images_v7,test,1674,map,0.406849,37.7739,cuda,2.8.0
2026-09-06T00:19:42,Jetson,BASELINE_RAW,eager,yolo26n,sub10k_open_images_v7,test,1674,map_50,0.613142,37.7739,cuda,2.8.0
2026-09-06T00:19:42,Jetson,BASELINE_RAW,eager,yolo26n,sub10k_open_images_v7,test,1674,map_75,0.435727,37.7739,cuda,2.8.0
2026-09-06T00:19:42,Jetson,BASELINE_RAW,eager,yolo26n,sub10k_open_images_v7,test,1674,mar_100,0.605802,37.7739,cuda,2.8.0
2026-09-06T00:21:14,Jetson,BASELINE_RAW,eager,voc_deeplabv3,VOC2012_segmentation,val,1449,mIoU,0.72688,30.6836,cuda,2.8.0
2026-09-06T00:21:14,Jetson,BASELINE_RAW,eager,voc_deeplabv3,VOC2012_segmentation,val,1449,pixel_acc,0.933797,30.6836,cuda,2.8.0
2026-09-06T00:23:04,Jetson,BASELINE_RAW,eager,yolo26l,sub10k_open_images_v7,val,837,map,0.473127,63.7646,cuda,2.8.0
2026-09-06T00:23:04,Jetson,BASELINE_RAW,eager,yolo26l,sub10k_open_images_v7,val,837,map_50,0.68444,63.7646,cuda,2.8.0
