datum,uredjaj,mjerenje,runtime,model,dataset,split,n_uzoraka,metrika,vrijednost,latencija_ms,dev,torch
2026-09-06T02:12:22,Jetson,BASELINE_OPTIM,tensorrt,housing_mlp,california_housing,val,3096,R2,0.756544,0.2716,cuda,2.8.0
2026-09-06T02:12:22,Jetson,BASELINE_OPTIM,tensorrt,housing_mlp,california_housing,val,3096,RMSE,0.563176,0.2716,cuda,2.8.0
2026-09-06T02:12:22,Jetson,BASELINE_OPTIM,tensorrt,housing_mlp,california_housing,val,3096,MAE,0.379832,0.2716,cuda,2.8.0
2026-09-06T02:12:22,Jetson,BASELINE_OPTIM,tensorrt,housing_mlp,california_housing,val,3096,MedAE,0.254511,0.2716,cuda,2.8.0
2026-09-06T02:12:22,Jetson,BASELINE_OPTIM,tensorrt,housing_mlp,california_housing,val,3096,P90,0.845398,0.2716,cuda,2.8.0
2026-09-06T02:12:22,Jetson,BASELINE_OPTIM,tensorrt,housing_mlp,california_housing,val,3096,lin_R2,0.584826,0.2716,cuda,2.8.0
2026-09-06T02:12:23,Jetson,BASELINE_OPTIM,tensorrt,housing_mlp,california_housing,test,3096,R2,0.789701,0.2722,cuda,2.8.0
2026-09-06T02:12:23,Jetson,BASELINE_OPTIM,tensorrt,housing_mlp,california_housing,test,3096,RMSE,0.527334,0.2722,cuda,2.8.0
2026-09-06T02:12:23,Jetson,BASELINE_OPTIM,tensorrt,housing_mlp,california_housing,test,3096,MAE,0.363489,0.2722,cuda,2.8.0
2026-09-06T02:12:23,Jetson,BASELINE_OPTIM,tensorrt,housing_mlp,california_housing,test,3096,MedAE,0.243687,0.2722,cuda,2.8.0
2026-09-06T02:12:23,Jetson,BASELINE_OPTIM,tensorrt,housing_mlp,california_housing,test,3096,P90,0.813771,0.2722,cuda,2.8.0
2026-09-06T02:12:23,Jetson,BASELINE_OPTIM,tensorrt,housing_mlp,california_housing,test,3096,lin_R2,0.606552,0.2722,cuda,2.8.0
2026-09-06T02:12:40,Jetson,BASELINE_OPTIM,tensorrt,speechcommands_m5,speech_commands_v0.02,val,4443,accuracy,0.871033,0.359,cuda,2.8.0
2026-09-06T02:12:40,Jetson,BASELINE_OPTIM,tensorrt,speechcommands_m5,speech_commands_v0.02,val,4443,f1_macro,0.870512,0.359,cuda,2.8.0
2026-09-06T02:12:52,Jetson,BASELINE_OPTIM,tensorrt,speechcommands_m5,speech_commands_v0.02,test,4888,accuracy,0.865589,0.3596,cuda,2.8.0
2026-09-06T02:12:52,Jetson,BASELINE_OPTIM,tensorrt,speechcommands_m5,speech_commands_v0.02,test,4888,f1_macro,0.866068,0.3596,cuda,2.8.0
2026-09-06T02:13:11,Jetson,BASELINE_OPTIM,tensorrt,midas_depth,NYU_Depth_V2,val,254,AbsRel,0.221663,3.2677,cuda,2.8.0
2026-09-06T02:13:11,Jetson,BASELINE_OPTIM,tensorrt,midas_depth,NYU_Depth_V2,val,254,RMSE_m,0.800642,3.2677,cuda,2.8.0
2026-09-06T02:13:11,Jetson,BASELINE_OPTIM,tensorrt,midas_depth,NYU_Depth_V2,val,254,delta1,0.595119,3.2677,cuda,2.8.0
2026-09-06T02:13:29,Jetson,BASELINE_OPTIM,tensorrt,sst2_distilbert,SST-2_GLUE,validation,872,accuracy,0.91055,1.7798,cuda,2.8.0
2026-09-06T02:13:29,Jetson,BASELINE_OPTIM,tensorrt,sst2_distilbert,SST-2_GLUE,validation,872,f1_macro,0.91043,1.7798,cuda,2.8.0
2026-09-06T02:14:19,Jetson,BASELINE_OPTIM,tensorrt,yolo26n,sub10k_open_images_v7,val,837,map,0.412059,5.4917,cuda,2.8.0
2026-09-06T02:14:19,Jetson,BASELINE_OPTIM,tensorrt,yolo26n,sub10k_open_images_v7,val,837,map_50,0.620448,5.4917,cuda,2.8.0
2026-09-06T02:14:19,Jetson,BASELINE_OPTIM,tensorrt,yolo26n,sub10k_open_images_v7,val,837,map_75,0.441133,5.4917,cuda,2.8.0
2026-09-06T02:14:19,Jetson,BASELINE_OPTIM,tensorrt,yolo26n,sub10k_open_images_v7,val,837,mar_100,0.615728,5.4917,cuda,2.8.0
2026-09-06T02:15:35,Jetson,BASELINE_OPTIM,tensorrt,yolo26n,sub10k_open_images_v7,test,1674,map,0.406488,5.2014,cuda,2.8.0
2026-09-06T02:15:35,Jetson,BASELINE_OPTIM,tensorrt,yolo26n,sub10k_open_images_v7,test,1674,map_50,0.613071,5.2014,cuda,2.8.0
2026-09-06T02:15:35,Jetson,BASELINE_OPTIM,tensorrt,yolo26n,sub10k_open_images_v7,test,1674,map_75,0.435504,5.2014,cuda,2.8.0
2026-09-06T02:15:35,Jetson,BASELINE_OPTIM,tensorrt,yolo26n,sub10k_open_images_v7,test,1674,mar_100,0.605673,5.2014,cuda,2.8.0
2026-09-06T02:16:27,Jetson,BASELINE_OPTIM,tensorrt,voc_deeplabv3,VOC2012_segmentation,val,1449,mIoU,0.726855,10.1514,cuda,2.8.0
2026-09-06T02:16:27,Jetson,BASELINE_OPTIM,tensorrt,voc_deeplabv3,VOC2012_segmentation,val,1449,pixel_acc,0.933784,10.1514,cuda,2.8.0
2026-09-06T02:17:20,Jetson,BASELINE_OPTIM,tensorrt,yolo26l,sub10k_open_images_v7,val,837,map,0.473356,17.9715,cuda,2.8.0
2026-09-06T02:17:20,Jetson,BASELINE_OPTIM,tensorrt,yolo26l,sub10k_open_images_v7,val,837,map_50,0.685231,17.9715,cuda,2.8.0
2026-09-06T02:17:20,Jetson,BASELINE_OPTIM,tensorrt,yolo26l,sub10k_open_images_v7,val,837,map_75,0.521151,17.9715,cuda,2.8.0
2026-09-06T02:17:20,Jetson,BASELINE_OPTIM,tensorrt,yolo26l,sub10k_open_images_v7,val,837,mar_100,0.671872,17.9715,cuda,2.8.0
2026-09-06T02:18:46,Jetson,BASELINE_OPTIM,tensorrt,yolo26l,sub10k_open_images_v7,test,1674,map,0.468118,17.6961,cuda,2.8.0
2026-09-06T02:18:46,Jetson,BASELINE_OPTIM,tensorrt,yolo26l,sub10k_open_images_v7,test,1674,map_50,0.682061,17.6961,cuda,2.8.0
