datum,uredjaj,mjerenje,runtime,model,dataset,split,n_uzoraka,metrika,vrijednost,latencija_ms,dev,torch
2026-09-07T22:33:37,Jetson,SLINN_OPTIM,tensorrt,yolo26l__ckpt_2_qat,sub10k_open_images_v7,val,837,map,0.304312,43.3857,cuda,2.8.0
2026-09-07T22:33:37,Jetson,SLINN_OPTIM,tensorrt,yolo26l__ckpt_2_qat,sub10k_open_images_v7,val,837,map_50,0.502169,43.3857,cuda,2.8.0
2026-09-07T22:33:37,Jetson,SLINN_OPTIM,tensorrt,yolo26l__ckpt_2_qat,sub10k_open_images_v7,val,837,map_75,0.309701,43.3857,cuda,2.8.0
2026-09-07T22:33:37,Jetson,SLINN_OPTIM,tensorrt,yolo26l__ckpt_2_qat,sub10k_open_images_v7,val,837,mar_100,0.525447,43.3857,cuda,2.8.0
2026-09-07T22:40:10,Jetson,SLINN_OPTIM,tensorrt,yolo26l__ckpt_2_qat,sub10k_open_images_v7,test,1674,map,0.299245,42.9128,cuda,2.8.0
2026-09-07T22:40:10,Jetson,SLINN_OPTIM,tensorrt,yolo26l__ckpt_2_qat,sub10k_open_images_v7,test,1674,map_50,0.489747,42.9128,cuda,2.8.0
2026-09-07T22:40:10,Jetson,SLINN_OPTIM,tensorrt,yolo26l__ckpt_2_qat,sub10k_open_images_v7,test,1674,map_75,0.30806,42.9128,cuda,2.8.0
2026-09-07T22:40:10,Jetson,SLINN_OPTIM,tensorrt,yolo26l__ckpt_2_qat,sub10k_open_images_v7,test,1674,mar_100,0.521268,42.9128,cuda,2.8.0
2026-09-07T22:42:02,Jetson,SLINN_OPTIM,tensorrt,yolo26l__ckpt_1_qat,sub10k_open_images_v7,val,837,map,0.400868,35.1957,cuda,2.8.0
2026-09-07T22:42:02,Jetson,SLINN_OPTIM,tensorrt,yolo26l__ckpt_1_qat,sub10k_open_images_v7,val,837,map_50,0.616816,35.1957,cuda,2.8.0
2026-09-07T22:42:02,Jetson,SLINN_OPTIM,tensorrt,yolo26l__ckpt_1_qat,sub10k_open_images_v7,val,837,map_75,0.427267,35.1957,cuda,2.8.0
2026-09-07T22:42:02,Jetson,SLINN_OPTIM,tensorrt,yolo26l__ckpt_1_qat,sub10k_open_images_v7,val,837,mar_100,0.623816,35.1957,cuda,2.8.0
2026-09-07T22:45:09,Jetson,SLINN_OPTIM,tensorrt,yolo26l__ckpt_1_qat,sub10k_open_images_v7,test,1674,map,0.402406,33.5088,cuda,2.8.0
2026-09-07T22:45:09,Jetson,SLINN_OPTIM,tensorrt,yolo26l__ckpt_1_qat,sub10k_open_images_v7,test,1674,map_50,0.613978,33.5088,cuda,2.8.0
2026-09-07T22:45:09,Jetson,SLINN_OPTIM,tensorrt,yolo26l__ckpt_1_qat,sub10k_open_images_v7,test,1674,map_75,0.427827,33.5088,cuda,2.8.0
2026-09-07T22:45:09,Jetson,SLINN_OPTIM,tensorrt,yolo26l__ckpt_1_qat,sub10k_open_images_v7,test,1674,mar_100,0.629047,33.5088,cuda,2.8.0
2026-09-07T22:46:34,Jetson,SLINN_OPTIM,tensorrt,yolo26l__best_quality_model_qat,sub10k_open_images_v7,val,837,map,0.451249,34.4291,cuda,2.8.0
2026-09-07T22:46:34,Jetson,SLINN_OPTIM,tensorrt,yolo26l__best_quality_model_qat,sub10k_open_images_v7,val,837,map_50,0.671244,34.4291,cuda,2.8.0
2026-09-07T22:46:34,Jetson,SLINN_OPTIM,tensorrt,yolo26l__best_quality_model_qat,sub10k_open_images_v7,val,837,map_75,0.492099,34.4291,cuda,2.8.0
2026-09-07T22:46:34,Jetson,SLINN_OPTIM,tensorrt,yolo26l__best_quality_model_qat,sub10k_open_images_v7,val,837,mar_100,0.676972,34.4291,cuda,2.8.0
2026-09-07T22:48:51,Jetson,SLINN_OPTIM,tensorrt,yolo26l__best_quality_model_qat,sub10k_open_images_v7,test,1674,map,0.44298,33.0595,cuda,2.8.0
2026-09-07T22:48:51,Jetson,SLINN_OPTIM,tensorrt,yolo26l__best_quality_model_qat,sub10k_open_images_v7,test,1674,map_50,0.659316,33.0595,cuda,2.8.0
2026-09-07T22:48:51,Jetson,SLINN_OPTIM,tensorrt,yolo26l__best_quality_model_qat,sub10k_open_images_v7,test,1674,map_75,0.481396,33.0595,cuda,2.8.0
2026-09-07T22:48:51,Jetson,SLINN_OPTIM,tensorrt,yolo26l__best_quality_model_qat,sub10k_open_images_v7,test,1674,mar_100,0.671984,33.0595,cuda,2.8.0
