datum,uredjaj,mjerenje,runtime,model,dataset,split,n_uzoraka,metrika,vrijednost,latencija_ms,dev,torch
2026-09-06T15:43:01,Jetson,SLINN_RAW,eager,housing_mlp__best_quality_model_qat,california_housing,val,3096,R2,0.649882,2.3485,cuda,2.8.0
2026-09-06T15:43:01,Jetson,SLINN_RAW,eager,housing_mlp__best_quality_model_qat,california_housing,val,3096,RMSE,0.675369,2.3485,cuda,2.8.0
2026-09-06T15:43:01,Jetson,SLINN_RAW,eager,housing_mlp__best_quality_model_qat,california_housing,val,3096,MAE,0.507025,2.3485,cuda,2.8.0
2026-09-06T15:43:01,Jetson,SLINN_RAW,eager,housing_mlp__best_quality_model_qat,california_housing,val,3096,MedAE,0.415994,2.3485,cuda,2.8.0
2026-09-06T15:43:01,Jetson,SLINN_RAW,eager,housing_mlp__best_quality_model_qat,california_housing,val,3096,P90,1.010493,2.3485,cuda,2.8.0
2026-09-06T15:43:01,Jetson,SLINN_RAW,eager,housing_mlp__best_quality_model_qat,california_housing,val,3096,lin_R2,0.584826,2.3485,cuda,2.8.0
2026-09-06T15:43:01,Jetson,SLINN_RAW,eager,housing_mlp__best_quality_model_qat,california_housing,test,3096,R2,0.693145,2.3446,cuda,2.8.0
2026-09-06T15:43:01,Jetson,SLINN_RAW,eager,housing_mlp__best_quality_model_qat,california_housing,test,3096,RMSE,0.636991,2.3446,cuda,2.8.0
2026-09-06T15:43:01,Jetson,SLINN_RAW,eager,housing_mlp__best_quality_model_qat,california_housing,test,3096,MAE,0.489896,2.3446,cuda,2.8.0
2026-09-06T15:43:01,Jetson,SLINN_RAW,eager,housing_mlp__best_quality_model_qat,california_housing,test,3096,MedAE,0.408515,2.3446,cuda,2.8.0
2026-09-06T15:43:01,Jetson,SLINN_RAW,eager,housing_mlp__best_quality_model_qat,california_housing,test,3096,P90,0.971213,2.3446,cuda,2.8.0
2026-09-06T15:43:01,Jetson,SLINN_RAW,eager,housing_mlp__best_quality_model_qat,california_housing,test,3096,lin_R2,0.606552,2.3446,cuda,2.8.0
2026-09-06T15:43:18,Jetson,SLINN_RAW,eager,speechcommands_m5__best_quality_model_qat,speech_commands_v0.02,val,4443,accuracy,0.803061,2.8455,cuda,2.8.0
2026-09-06T15:43:18,Jetson,SLINN_RAW,eager,speechcommands_m5__best_quality_model_qat,speech_commands_v0.02,val,4443,f1_macro,0.807995,2.8455,cuda,2.8.0
2026-09-06T15:43:31,Jetson,SLINN_RAW,eager,speechcommands_m5__best_quality_model_qat,speech_commands_v0.02,test,4888,accuracy,0.804214,2.8675,cuda,2.8.0
2026-09-06T15:43:31,Jetson,SLINN_RAW,eager,speechcommands_m5__best_quality_model_qat,speech_commands_v0.02,test,4888,f1_macro,0.80959,2.8675,cuda,2.8.0
2026-09-06T15:45:24,Jetson,SLINN_RAW,eager,yolo26n__best_quality_model_qat,sub10k_open_images_v7,val,837,map,0.39013,69.7879,cuda,2.8.0
2026-09-06T15:45:24,Jetson,SLINN_RAW,eager,yolo26n__best_quality_model_qat,sub10k_open_images_v7,val,837,map_50,0.592847,69.7879,cuda,2.8.0
2026-09-06T15:45:24,Jetson,SLINN_RAW,eager,yolo26n__best_quality_model_qat,sub10k_open_images_v7,val,837,map_75,0.419047,69.7879,cuda,2.8.0
2026-09-06T15:45:24,Jetson,SLINN_RAW,eager,yolo26n__best_quality_model_qat,sub10k_open_images_v7,val,837,mar_100,0.609014,69.7879,cuda,2.8.0
2026-09-06T15:48:40,Jetson,SLINN_RAW,eager,yolo26n__best_quality_model_qat,sub10k_open_images_v7,test,1674,map,0.384924,68.4913,cuda,2.8.0
2026-09-06T15:48:40,Jetson,SLINN_RAW,eager,yolo26n__best_quality_model_qat,sub10k_open_images_v7,test,1674,map_50,0.585116,68.4913,cuda,2.8.0
2026-09-06T15:48:40,Jetson,SLINN_RAW,eager,yolo26n__best_quality_model_qat,sub10k_open_images_v7,test,1674,map_75,0.413139,68.4913,cuda,2.8.0
2026-09-06T15:48:40,Jetson,SLINN_RAW,eager,yolo26n__best_quality_model_qat,sub10k_open_images_v7,test,1674,mar_100,0.602888,68.4913,cuda,2.8.0
