datum,uredjaj,mjerenje,runtime,model,dataset,split,n_uzoraka,metrika,vrijednost,latencija_ms,dev,torch
2026-09-05T20:42:56,RPi5,BASELINE_RAW,eager,housing_mlp,california_housing,val,3096,R2,0.756544,0.6575,cpu,2.14.0+cpu
2026-09-05T20:42:56,RPi5,BASELINE_RAW,eager,housing_mlp,california_housing,val,3096,RMSE,0.563176,0.6575,cpu,2.14.0+cpu
2026-09-05T20:42:56,RPi5,BASELINE_RAW,eager,housing_mlp,california_housing,val,3096,MAE,0.379832,0.6575,cpu,2.14.0+cpu
2026-09-05T20:42:56,RPi5,BASELINE_RAW,eager,housing_mlp,california_housing,val,3096,MedAE,0.254511,0.6575,cpu,2.14.0+cpu
2026-09-05T20:42:56,RPi5,BASELINE_RAW,eager,housing_mlp,california_housing,val,3096,P90,0.845398,0.6575,cpu,2.14.0+cpu
2026-09-05T20:42:56,RPi5,BASELINE_RAW,eager,housing_mlp,california_housing,val,3096,lin_R2,0.584826,0.6575,cpu,2.14.0+cpu
2026-09-05T20:42:56,RPi5,BASELINE_RAW,eager,housing_mlp,california_housing,test,3096,R2,0.789701,0.66,cpu,2.14.0+cpu
2026-09-05T20:42:56,RPi5,BASELINE_RAW,eager,housing_mlp,california_housing,test,3096,RMSE,0.527334,0.66,cpu,2.14.0+cpu
2026-09-05T20:42:56,RPi5,BASELINE_RAW,eager,housing_mlp,california_housing,test,3096,MAE,0.363489,0.66,cpu,2.14.0+cpu
2026-09-05T20:42:56,RPi5,BASELINE_RAW,eager,housing_mlp,california_housing,test,3096,MedAE,0.243687,0.66,cpu,2.14.0+cpu
2026-09-05T20:42:56,RPi5,BASELINE_RAW,eager,housing_mlp,california_housing,test,3096,P90,0.813771,0.66,cpu,2.14.0+cpu
2026-09-05T20:42:56,RPi5,BASELINE_RAW,eager,housing_mlp,california_housing,test,3096,lin_R2,0.606552,0.66,cpu,2.14.0+cpu
2026-09-05T20:43:19,RPi5,BASELINE_RAW,eager,speechcommands_m5,speech_commands_v0.02,val,4443,accuracy,0.873284,2.4602,cpu,2.14.0+cpu
2026-09-05T20:43:19,RPi5,BASELINE_RAW,eager,speechcommands_m5,speech_commands_v0.02,val,4443,f1_macro,0.87306,2.4602,cpu,2.14.0+cpu
2026-09-05T20:43:35,RPi5,BASELINE_RAW,eager,speechcommands_m5,speech_commands_v0.02,test,4888,accuracy,0.85802,2.4521,cpu,2.14.0+cpu
2026-09-05T20:43:35,RPi5,BASELINE_RAW,eager,speechcommands_m5,speech_commands_v0.02,test,4888,f1_macro,0.85792,2.4521,cpu,2.14.0+cpu
2026-09-06T17:33:28,RPi5,BASELINE_RAW,eager,midas_depth,NYU_Depth_V2,val,254,AbsRel,0.120075,254.8277,cpu,2.14.0+cpu
2026-09-06T17:33:28,RPi5,BASELINE_RAW,eager,midas_depth,NYU_Depth_V2,val,254,RMSE_m,0.481029,254.8277,cpu,2.14.0+cpu
2026-09-06T17:33:28,RPi5,BASELINE_RAW,eager,midas_depth,NYU_Depth_V2,val,254,delta1,0.852628,254.8277,cpu,2.14.0+cpu
2026-09-05T20:46:11,RPi5,BASELINE_RAW,eager,sst2_distilbert,SST-2_GLUE,validation,872,accuracy,0.91055,98.4968,cpu,2.14.0+cpu
2026-09-05T20:46:11,RPi5,BASELINE_RAW,eager,sst2_distilbert,SST-2_GLUE,validation,872,f1_macro,0.91043,98.4968,cpu,2.14.0+cpu
2026-09-05T20:51:15,RPi5,BASELINE_RAW,eager,yolo26n,sub10k_open_images_v7,val,837,map,0.412335,319.7453,cpu,2.14.0+cpu
2026-09-05T20:51:15,RPi5,BASELINE_RAW,eager,yolo26n,sub10k_open_images_v7,val,837,map_50,0.62075,319.7453,cpu,2.14.0+cpu
2026-09-05T20:51:15,RPi5,BASELINE_RAW,eager,yolo26n,sub10k_open_images_v7,val,837,map_75,0.440211,319.7453,cpu,2.14.0+cpu
2026-09-05T20:51:15,RPi5,BASELINE_RAW,eager,yolo26n,sub10k_open_images_v7,val,837,mar_100,0.615595,319.7453,cpu,2.14.0+cpu
2026-09-05T21:01:03,RPi5,BASELINE_RAW,eager,yolo26n,sub10k_open_images_v7,test,1674,map,0.406859,321.074,cpu,2.14.0+cpu
2026-09-05T21:01:03,RPi5,BASELINE_RAW,eager,yolo26n,sub10k_open_images_v7,test,1674,map_50,0.613235,321.074,cpu,2.14.0+cpu
2026-09-05T21:01:03,RPi5,BASELINE_RAW,eager,yolo26n,sub10k_open_images_v7,test,1674,map_75,0.435673,321.074,cpu,2.14.0+cpu
2026-09-05T21:01:03,RPi5,BASELINE_RAW,eager,yolo26n,sub10k_open_images_v7,test,1674,mar_100,0.605724,321.074,cpu,2.14.0+cpu
2026-09-05T21:24:39,RPi5,BASELINE_RAW,eager,voc_deeplabv3,VOC2012_segmentation,val,1449,mIoU,0.726889,862.1713,cpu,2.14.0+cpu
2026-09-05T21:24:39,RPi5,BASELINE_RAW,eager,voc_deeplabv3,VOC2012_segmentation,val,1449,pixel_acc,0.933798,862.1713,cpu,2.14.0+cpu
2026-09-05T22:01:57,RPi5,BASELINE_RAW,eager,yolo26l,sub10k_open_images_v7,val,837,map,0.473208,2630.6812,cpu,2.14.0+cpu
2026-09-05T22:01:57,RPi5,BASELINE_RAW,eager,yolo26l,sub10k_open_images_v7,val,837,map_50,0.684666,2630.6812,cpu,2.14.0+cpu
2026-09-05T22:01:57,RPi5,BASELINE_RAW,eager,yolo26l,sub10k_open_images_v7,val,837,map_75,0.523722,2630.6812,cpu,2.14.0+cpu
2026-09-05T22:01:57,RPi5,BASELINE_RAW,eager,yolo26l,sub10k_open_images_v7,val,837,mar_100,0.671475,2630.6812,cpu,2.14.0+cpu
2026-09-05T23:16:09,RPi5,BASELINE_RAW,eager,yolo26l,sub10k_open_images_v7,test,1674,map,0.468196,2633.8894,cpu,2.14.0+cpu
2026-09-05T23:16:09,RPi5,BASELINE_RAW,eager,yolo26l,sub10k_open_images_v7,test,1674,map_50,0.68209,2633.8894,cpu,2.14.0+cpu
2026-09-05T23:16:09,RPi5,BASELINE_RAW,eager,yolo26l,sub10k_open_images_v7,test,1674,map_75,0.506667,2633.8894,cpu,2.14.0+cpu
2026-09-05T23:16:09,RPi5,BASELINE_RAW,eager,yolo26l,sub10k_open_images_v7,test,1674,mar_100,0.662417,2633.8894,cpu,2.14.0+cpu
