datum,uredjaj,mjerenje,runtime,model,dataset,split,n_uzoraka,metrika,vrijednost,latencija_ms,dev,torch
2026-09-06T00:36:09,RPi5,BASELINE_OPTIM,onnxruntime,housing_mlp,california_housing,val,5,R2,0.900639,0.0869,cpu,2.14.0+cpu
2026-09-06T00:36:09,RPi5,BASELINE_OPTIM,onnxruntime,housing_mlp,california_housing,val,5,RMSE,0.407572,0.0869,cpu,2.14.0+cpu
2026-09-06T00:36:09,RPi5,BASELINE_OPTIM,onnxruntime,housing_mlp,california_housing,val,5,MAE,0.333524,0.0869,cpu,2.14.0+cpu
2026-09-06T00:36:09,RPi5,BASELINE_OPTIM,onnxruntime,housing_mlp,california_housing,val,5,MedAE,0.335824,0.0869,cpu,2.14.0+cpu
2026-09-06T00:36:09,RPi5,BASELINE_OPTIM,onnxruntime,housing_mlp,california_housing,val,5,P90,0.604157,0.0869,cpu,2.14.0+cpu
2026-09-06T00:36:09,RPi5,BASELINE_OPTIM,onnxruntime,housing_mlp,california_housing,val,5,lin_R2,0.81234,0.0869,cpu,2.14.0+cpu
2026-09-06T00:36:09,RPi5,BASELINE_OPTIM,onnxruntime,housing_mlp,california_housing,test,5,R2,0.744579,0.0907,cpu,2.14.0+cpu
2026-09-06T00:36:09,RPi5,BASELINE_OPTIM,onnxruntime,housing_mlp,california_housing,test,5,RMSE,0.535678,0.0907,cpu,2.14.0+cpu
2026-09-06T00:36:09,RPi5,BASELINE_OPTIM,onnxruntime,housing_mlp,california_housing,test,5,MAE,0.473816,0.0907,cpu,2.14.0+cpu
2026-09-06T00:36:09,RPi5,BASELINE_OPTIM,onnxruntime,housing_mlp,california_housing,test,5,MedAE,0.590748,0.0907,cpu,2.14.0+cpu
2026-09-06T00:36:09,RPi5,BASELINE_OPTIM,onnxruntime,housing_mlp,california_housing,test,5,P90,0.723748,0.0907,cpu,2.14.0+cpu
2026-09-06T00:36:09,RPi5,BASELINE_OPTIM,onnxruntime,housing_mlp,california_housing,test,5,lin_R2,0.224167,0.0907,cpu,2.14.0+cpu
2026-09-06T00:36:17,RPi5,BASELINE_OPTIM,onnxruntime,speechcommands_m5,speech_commands_v0.02,val,5,accuracy,1.0,1.3098,cpu,2.14.0+cpu
