datum,uredjaj,mjerenje,runtime,model,dataset,split,n_uzoraka,metrika,vrijednost,latencija_ms,dev,torch
2026-09-06T16:18:24,RPi5,SLINN_OPTIM,onnxruntime,housing_mlp__best_quality_model_qat,california_housing,val,3096,R2,0.649647,0.0629,cpu,2.14.0+cpu
2026-09-06T16:18:24,RPi5,SLINN_OPTIM,onnxruntime,housing_mlp__best_quality_model_qat,california_housing,val,3096,RMSE,0.675595,0.0629,cpu,2.14.0+cpu
2026-09-06T16:18:24,RPi5,SLINN_OPTIM,onnxruntime,housing_mlp__best_quality_model_qat,california_housing,val,3096,MAE,0.507231,0.0629,cpu,2.14.0+cpu
2026-09-06T16:18:24,RPi5,SLINN_OPTIM,onnxruntime,housing_mlp__best_quality_model_qat,california_housing,val,3096,MedAE,0.415873,0.0629,cpu,2.14.0+cpu
2026-09-06T16:18:24,RPi5,SLINN_OPTIM,onnxruntime,housing_mlp__best_quality_model_qat,california_housing,val,3096,P90,1.013985,0.0629,cpu,2.14.0+cpu
2026-09-06T16:18:24,RPi5,SLINN_OPTIM,onnxruntime,housing_mlp__best_quality_model_qat,california_housing,val,3096,lin_R2,0.584826,0.0629,cpu,2.14.0+cpu
2026-09-06T16:18:24,RPi5,SLINN_OPTIM,onnxruntime,housing_mlp__best_quality_model_qat,california_housing,test,3096,R2,0.692877,0.0624,cpu,2.14.0+cpu
2026-09-06T16:18:24,RPi5,SLINN_OPTIM,onnxruntime,housing_mlp__best_quality_model_qat,california_housing,test,3096,RMSE,0.637269,0.0624,cpu,2.14.0+cpu
2026-09-06T16:18:24,RPi5,SLINN_OPTIM,onnxruntime,housing_mlp__best_quality_model_qat,california_housing,test,3096,MAE,0.490185,0.0624,cpu,2.14.0+cpu
2026-09-06T16:18:24,RPi5,SLINN_OPTIM,onnxruntime,housing_mlp__best_quality_model_qat,california_housing,test,3096,MedAE,0.408475,0.0624,cpu,2.14.0+cpu
2026-09-06T16:18:24,RPi5,SLINN_OPTIM,onnxruntime,housing_mlp__best_quality_model_qat,california_housing,test,3096,P90,0.971213,0.0624,cpu,2.14.0+cpu
2026-09-06T16:18:24,RPi5,SLINN_OPTIM,onnxruntime,housing_mlp__best_quality_model_qat,california_housing,test,3096,lin_R2,0.606552,0.0624,cpu,2.14.0+cpu
2026-09-06T16:18:42,RPi5,SLINN_OPTIM,onnxruntime,speechcommands_m5__best_quality_model_qat,speech_commands_v0.02,val,4443,accuracy,0.803286,0.3563,cpu,2.14.0+cpu
2026-09-06T16:18:42,RPi5,SLINN_OPTIM,onnxruntime,speechcommands_m5__best_quality_model_qat,speech_commands_v0.02,val,4443,f1_macro,0.808036,0.3563,cpu,2.14.0+cpu
2026-09-06T16:18:54,RPi5,SLINN_OPTIM,onnxruntime,speechcommands_m5__best_quality_model_qat,speech_commands_v0.02,test,4888,accuracy,0.805033,0.242,cpu,2.14.0+cpu
2026-09-06T16:18:54,RPi5,SLINN_OPTIM,onnxruntime,speechcommands_m5__best_quality_model_qat,speech_commands_v0.02,test,4888,f1_macro,0.810106,0.242,cpu,2.14.0+cpu
2026-09-06T16:21:33,RPi5,SLINN_OPTIM,onnxruntime,yolo26n__best_quality_model_qat,sub10k_open_images_v7,val,837,map,0.390746,146.3122,cpu,2.14.0+cpu
2026-09-06T16:21:33,RPi5,SLINN_OPTIM,onnxruntime,yolo26n__best_quality_model_qat,sub10k_open_images_v7,val,837,map_50,0.593088,146.3122,cpu,2.14.0+cpu
2026-09-06T16:21:33,RPi5,SLINN_OPTIM,onnxruntime,yolo26n__best_quality_model_qat,sub10k_open_images_v7,val,837,map_75,0.41852,146.3122,cpu,2.14.0+cpu
2026-09-06T16:21:33,RPi5,SLINN_OPTIM,onnxruntime,yolo26n__best_quality_model_qat,sub10k_open_images_v7,val,837,mar_100,0.610782,146.3122,cpu,2.14.0+cpu
2026-09-06T16:26:38,RPi5,SLINN_OPTIM,onnxruntime,yolo26n__best_quality_model_qat,sub10k_open_images_v7,test,1674,map,0.384822,147.4838,cpu,2.14.0+cpu
2026-09-06T16:26:38,RPi5,SLINN_OPTIM,onnxruntime,yolo26n__best_quality_model_qat,sub10k_open_images_v7,test,1674,map_50,0.584727,147.4838,cpu,2.14.0+cpu
2026-09-06T16:26:38,RPi5,SLINN_OPTIM,onnxruntime,yolo26n__best_quality_model_qat,sub10k_open_images_v7,test,1674,map_75,0.411978,147.4838,cpu,2.14.0+cpu
2026-09-06T16:26:38,RPi5,SLINN_OPTIM,onnxruntime,yolo26n__best_quality_model_qat,sub10k_open_images_v7,test,1674,mar_100,0.602903,147.4838,cpu,2.14.0+cpu
