step,phase,gflops,gflops_pct,params,size_mb,val_map,val_f1,val_acc,quality,gflops_freed_cum,ft_epochs,pruned_params,kd_loss,wall_s
0,original,2.66083,100.0,3699622,14.113,0.61648,0.51547,0.79271,0.61648,0.0,0,0,0.0,3.9
1,prune+ft,2.55577,96.052,3697807,14.106,0.59307,0.47406,0.78594,0.59307,0.10506,2,1815,0.36298,34.6
2,prune+ft,2.44412,91.856,2913221,11.113,0.60528,0.50611,0.79271,0.60528,0.21671,2,784586,0.3632,65.0
3,prune+ft,2.35845,88.636,2415795,9.216,0.57878,0.47476,0.7736,0.57878,0.30238,2,497426,0.35956,95.1
4,prune+ft,2.27693,85.572,2061082,7.862,0.61798,0.51266,0.7953,0.61798,0.3839,2,354713,0.35995,125.5
5,prune+ft,2.192,82.38,1739149,6.634,0.59748,0.43268,0.77818,0.59748,0.46883,2,321933,0.35948,155.9
6,prune+ft,2.09741,78.825,1481566,5.652,0.59627,0.49006,0.77997,0.59627,0.56342,2,257583,0.35909,186.0
7,prune+ft,2.01466,75.715,1254127,4.784,0.60858,0.48641,0.78435,0.60858,0.64617,2,227439,0.35874,216.1
8,prune+ft,1.93334,72.659,1059468,4.042,0.61251,0.50758,0.78753,0.61251,0.72748,2,194659,0.35859,246.0
9,prune+ft,1.84876,69.481,926589,3.535,0.58823,0.44203,0.77718,0.58823,0.81207,2,132879,0.35876,275.5
10,prune+ft,1.76564,66.357,860940,3.284,0.61746,0.49601,0.79271,0.61746,0.89519,2,65649,0.35694,304.9
11,prune+ft,1.68627,63.374,742793,2.834,0.60854,0.5075,0.78833,0.60854,0.97456,2,118147,0.35781,334.2
12,prune+ft,1.60363,60.268,731465,2.79,0.62065,0.511,0.7951,0.62065,1.0572,2,11328,0.35804,363.5
13,prune+ft,1.52226,57.21,648815,2.475,0.61594,0.49451,0.79371,0.61594,1.13857,2,82650,0.35736,392.7
14,prune+ft,1.44246,54.211,560070,2.136,0.61245,0.50758,0.79331,0.61245,1.21837,2,88745,0.35889,421.8
15,prune+ft,1.36112,51.154,492292,1.878,0.61661,0.49932,0.79391,0.61661,1.29971,2,67778,0.35838,450.6
16,prune+ft,1.28025,48.115,446664,1.704,0.61319,0.49141,0.78853,0.61319,1.38058,2,45628,0.3574,479.4
17,prune+ft,1.19992,45.096,374774,1.43,0.61608,0.51526,0.7945,0.61608,1.4609,2,71890,0.35787,508.0
18,prune+ft,1.11769,42.006,296572,1.131,0.61024,0.4861,0.78415,0.61024,1.54313,2,78202,0.36015,535.0
19,prune+ft,1.02225,38.418,245025,0.935,0.60517,0.47606,0.78953,0.60517,1.63858,2,51547,0.36233,561.1
20,prune+ft,0.93603,35.178,202633,0.773,0.60789,0.49375,0.78495,0.60789,1.7248,2,42392,0.36311,587.0
21,prune+ft,0.85597,32.169,164692,0.628,0.61318,0.48202,0.78594,0.61318,1.80486,2,37941,0.36345,612.6
22,prune+ft,0.77356,29.072,135347,0.516,0.5954,0.38467,0.76981,0.5954,1.88727,2,29345,0.36538,637.2
23,prune+ft,0.6843,25.718,118737,0.453,0.596,0.46103,0.78196,0.596,1.97653,2,16610,0.36461,661.5
24,prune+ft,0.59707,22.439,104921,0.4,0.58072,0.43928,0.76185,0.58072,2.06376,2,13816,0.36609,685.6
25,prune+ft,0.51762,19.453,84028,0.321,0.59142,0.4715,0.7732,0.59142,2.14321,2,20893,0.36921,709.3
26,prune+ft,0.42523,15.981,66946,0.255,0.60196,0.4938,0.79192,0.60196,2.2356,2,17082,0.37013,733.9
27,prune+ft,0.33602,12.628,50484,0.193,0.58588,0.45354,0.78335,0.58588,2.32481,2,16462,0.3752,759.4
28,prune+ft,0.26822,10.08,39080,0.149,0.58501,0.42477,0.7736,0.58501,2.39261,2,11404,0.37779,782.7
29,prune+ft,0.21107,7.932,31003,0.118,0.54694,0.40069,0.75826,0.54694,2.44976,2,8077,0.38291,806.2
30,prune+ft,0.17378,6.531,24304,0.093,0.56432,0.43668,0.78276,0.56432,2.48704,2,6699,0.38886,829.6
31,prune+ft,0.14777,5.554,18974,0.072,0.54623,0.4342,0.7724,0.54623,2.51306,2,5330,0.39881,852.8
32,prune+ft,0.12558,4.72,15371,0.059,0.55483,0.37149,0.76563,0.55483,2.53524,2,3603,0.40335,877.6
33,prune+ft,0.10504,3.948,12132,0.046,0.53992,0.40139,0.77738,0.53992,2.55579,2,3239,0.41175,902.4
34,prune+ft,0.08658,3.254,10485,0.04,0.53054,0.33235,0.74333,0.53054,2.57424,2,1647,0.40792,927.5
35,prune+ft,0.07088,2.664,9119,0.035,0.5438,0.46369,0.77638,0.5438,2.58995,2,1366,0.40648,953.1
36,prune+ft,0.06516,2.449,7917,0.03,0.54465,0.37902,0.76583,0.54465,2.59567,2,1202,0.40619,979.2
37,prune+ft,0.05973,2.245,6769,0.026,0.51762,0.36562,0.75388,0.51762,2.6011,2,1148,0.40869,1004.7
38,prune+ft,0.05841,2.195,5812,0.022,0.55169,0.40445,0.77021,0.55169,2.60241,2,957,0.40998,1029.5
