step,phase,gflops,gflops_pct,params,size_mb,val_map,val_mar,quality,gflops_freed_cum,gflops_reinvested_cum,ft_epochs,n_pruned,n_grown,kd_loss,wall_s
0,original,5.9584,100.0,2572280,9.812,0.41258,0.6156,0.41258,0.0,0.0,0,0,0,0.0,92.5
1,morph+ft,5.9236,99.416,2528626,9.646,0.3813,0.60794,0.3813,0.0348,0.0,1,33,0,0.4736,277.7
2,morph+ft,5.7498,96.499,2334396,8.905,0.38381,0.60761,0.38381,0.2086,0.0,1,122,0,0.32954,462.7
3,morph+ft,5.5795,93.641,2192468,8.364,0.38359,0.60618,0.38359,0.3789,0.0,1,89,0,0.33741,647.2
4,morph+ft,5.4033,90.684,2027026,7.732,0.37713,0.60244,0.37713,0.5551,0.0,1,127,0,0.34592,837.4
5,morph+ft,5.2322,87.812,1910842,7.289,0.35882,0.59251,0.35882,0.7262,0.0066,1,87,32,0.36955,1021.8
6,morph+ft,5.0661,85.025,1816133,6.928,0.35221,0.58783,0.35221,0.8923,0.009,1,76,12,0.40134,1200.0
7,morph+ft,4.8893,82.058,1721275,6.566,0.34764,0.57345,0.34764,1.0691,0.009,1,75,0,0.42674,1379.3
8,morph+ft,4.7197,79.212,1651632,6.3,0.34269,0.57059,0.34269,1.2386,0.009,1,62,0,0.42719,1554.6
9,morph+ft,4.5491,76.348,1557868,5.943,0.33561,0.56274,0.33561,1.4093,0.009,1,97,0,0.42983,1731.4
10,morph+ft,4.3748,73.422,1461810,5.576,0.32397,0.54904,0.32397,1.5836,0.009,1,101,0,0.46388,1894.5
11,morph+ft,4.2032,70.543,1383884,5.279,0.31438,0.53931,0.31438,1.7552,0.009,1,75,0,0.50772,2060.2
12,morph+ft,4.0204,67.474,1286840,4.909,0.30508,0.53983,0.30508,1.938,0.009,1,143,0,0.52042,2218.5
13,morph+ft,3.8405,64.455,1215768,4.638,0.29122,0.52548,0.29122,2.1179,0.0099,1,112,4,0.53526,2394.1
14,morph+ft,3.6653,61.515,1149546,4.385,0.28488,0.50913,0.28488,2.2931,0.0099,1,121,0,0.58234,2570.2
15,morph+ft,3.4873,58.527,1079689,4.119,0.28453,0.50827,0.28453,2.4711,0.0099,1,138,0,0.59312,2749.7
16,morph+ft,3.3078,55.515,1025287,3.911,0.28157,0.50064,0.28157,2.6506,0.0099,1,140,0,0.55362,2924.0
17,morph+ft,3.1511,52.886,977228,3.728,0.27537,0.49248,0.27537,2.8072,0.0099,1,134,0,0.58981,3100.5
18,morph+ft,3.0144,50.592,930078,3.548,0.26657,0.48159,0.26657,2.9439,0.0099,1,159,0,0.59583,3277.9
19,morph+ft,2.9016,48.697,889789,3.394,0.25247,0.46984,0.25247,3.0568,0.0099,1,139,0,0.60689,3459.5
20,morph+ft,2.812,47.194,857782,3.272,0.25267,0.46946,0.25267,3.1464,0.0099,1,113,0,0.59755,3641.9
21,morph+ft,2.7367,45.931,830234,3.167,0.25247,0.46937,0.25247,3.2216,0.0099,1,98,0,0.60787,3824.1
22,morph+ft,2.6823,45.017,809950,3.09,0.24886,0.47033,0.24886,3.2761,0.0099,1,72,0,0.60354,3999.9
23,morph+ft,2.6401,44.309,795172,3.033,0.24059,0.45294,0.24059,3.3183,0.0099,1,52,0,0.62165,4162.5
24,morph+ft,2.607,43.753,783200,2.988,0.24533,0.46259,0.24533,3.3514,0.0099,1,43,0,0.61011,4339.6
25,morph+ft,2.5854,43.391,773876,2.952,0.24821,0.46093,0.24821,3.373,0.0099,1,33,0,0.59994,4505.8
26,morph+ft,2.571,43.149,766986,2.926,0.24568,0.46206,0.24568,3.3874,0.0099,1,25,0,0.6176,4682.9
27,morph+ft,2.5617,42.993,762384,2.908,0.24609,0.46577,0.24609,3.3967,0.0099,1,18,0,0.59208,4857.5
28,morph+ft,2.5575,42.923,759984,2.899,0.24487,0.46183,0.24487,3.4008,0.0099,1,12,0,0.58739,5029.8
29,morph+ft,2.5561,42.9,758220,2.892,0.24323,0.46203,0.24323,3.4022,0.0099,1,9,0,0.57937,5197.9
30,morph+ft,2.5549,42.88,756714,2.887,0.24333,0.4642,0.24333,3.4034,0.0099,1,8,0,0.57243,5368.1
31,morph+ft,2.5542,42.868,755796,2.883,0.24323,0.46597,0.24323,3.4042,0.0099,1,5,0,0.56867,5536.7
32,morph+ft,2.554,42.864,755538,2.882,0.24262,0.46556,0.24262,3.4044,0.0099,1,1,0,0.55998,5706.0
