postupak,format,backend,cpu_ms,gpu_ms,size_mb,acc,f1_macro,auroc
ORIG,FP32,PyTorch,27.3457,4.9968,255.4507,0.91055,0.91043,0.97175
PTQ,FP32,PyTorch,N/A (—),5.8694,255.4507,0.91055,0.91043,0.97175
PTQ,FP16,PyTorch,N/A (CPU fp16 bez HW puta),N/A (mjereno u TRT retku),127.7442,0.91055,0.91043,0.97173
PTQ,INT8-OV,OpenVINO CPU,4.5364,N/A (OpenVINO je CPU),N/A (QDQ ONNX = opis grafa),0.89908,0.89896,0.96808
PTQ,FP16-TRT,TensorRT,N/A (TRT je GPU),1.083,255.8087,0.91055,0.91043,0.97174
PTQ,INT8-TRT,TensorRT,N/A (TRT je GPU),0.6291,132.8766,0.90252,0.90242,0.96783
QAT,FP32,PyTorch,N/A (—),5.7713,255.4507,0.90367,0.90352,0.96919
QAT,FP16,PyTorch,N/A (CPU fp16 bez HW puta),N/A (mjereno u TRT retku),127.7442,0.90367,0.90352,0.9692
QAT,INT8-OV,OpenVINO CPU,4.2824,N/A (OpenVINO je CPU),N/A (QDQ ONNX = opis grafa),0.89908,0.89885,0.96978
QAT,FP16-TRT,TensorRT,N/A (TRT je GPU),1.0885,255.824,0.90367,0.90352,0.96918
QAT,INT8-TRT,TensorRT,N/A (TRT je GPU),0.6407,132.8904,0.90023,0.90003,0.96952
