postupak,format,backend,cpu_ms,gpu_ms,size_mb,map_macro,f1_macro,acc_macro
ORIG,FP32,PyTorch,22.2363,1.0449,14.1271,0.61648,0.51547,0.79271
PTQ,FP32,PyTorch,N/A (—),1.081,14.1161,0.61651,0.51566,0.79271
PTQ,FP16,PyTorch,N/A (CPU fp16 bez HW puta),N/A (mjereno u TRT retku),7.0606,0.61649,0.51481,0.79251
PTQ,INT8-OV,OpenVINO CPU,2.2205,N/A (OpenVINO je CPU),N/A (QDQ ONNX = opis grafa),0.62277,0.51866,0.7945
PTQ,FP16-TRT,TensorRT,N/A (TRT je GPU),0.7218,7.2316,0.60871,0.5123,0.79211
PTQ,INT8-TRT,TensorRT,N/A (TRT je GPU),0.4352,3.7247,0.60846,0.50707,0.79052
QAT,FP32,PyTorch,N/A (—),1.0549,14.1161,0.60591,0.47556,0.78196
QAT,FP16,PyTorch,N/A (CPU fp16 bez HW puta),N/A (mjereno u TRT retku),7.0606,0.60586,0.47543,0.78176
QAT,INT8-OV,OpenVINO CPU,2.1766,N/A (OpenVINO je CPU),N/A (QDQ ONNX = opis grafa),0.61499,0.49005,0.78853
QAT,FP16-TRT,TensorRT,N/A (TRT je GPU),0.676,7.2217,0.60247,0.4794,0.78296
QAT,INT8-TRT,TensorRT,N/A (TRT je GPU),0.4568,3.7377,0.60858,0.49117,0.78833
